feature,importance
task_age_days,32.15854068793454
status,18.889350942101984
assignee,16.388271066779378
priority,12.438471853998832
issue_type,11.931158164196411
sprint,4.603842016550781
story_points,3.0208905151090755
story_points_missing,0.23873173136804587
timespent,0.17662450177573644
assignee_change_count,0.11645970473097722
story_point_change_count,0.01594894931991003
priority_change_count,0.013451015131876368
status_change_count,0.008258851002467323
estimate_change_count,0.0
changes_last_7_days,0.0
