feature,mutual_information
task_age_days,0.2231551773646867
story_points,0.02074366087926638
status_change_count,0.014848886455922639
story_points_missing,0.014479489330295081
estimate_change_count,0.0055952923365323315
changes_last_7_days,0.0039431862195908884
priority_change_count,0.0031524359027650384
timespent,0.0024266549684202054
story_point_change_count,0.0007838817710843493
assignee_change_count,0.0
