feature,importance
task_age_days,50.90997495333872
assignee,12.459891420988901
priority,10.195420270700398
issue_type,9.252247787435921
sprint,5.87996053369064
status,5.163378350828204
status_change_count,2.6422361523868885
changes_last_7_days,1.7193587434736612
story_points,0.7593831374642007
assignee_change_count,0.4473848877907561
priority_change_count,0.24835968899266822
timespent,0.2200528862842037
story_point_change_count,0.05654270940947274
story_points_missing,0.03768367414678642
estimate_change_count,0.008124803068623124
